Ano de eleição,Município,UF,Região,Nome candidato,Votos válidos,Votos nominais,Estado_Municipio,Código SUS,Cobertura Vacinal 2015,Cobertura Vacinal 2016,Cobertura Vacinal 2017,Cobertura Vacinal 2018,Cobertura Vacinal 2019,Cobertura Vacinal 2020,Cobertura Vacinal 2021,Cobertura Vacinal 2022
2018,CAJUEIRO,AL,NORDESTE,FERNANDO HADDAD,9032,6380,AL-CAJUEIRO,270130,83.42,96.51,115.86,137.93,103.91,67.75,67.09,94.75
2018,CAMPESTRE,AL,NORDESTE,FERNANDO HADDAD,3339,2594,AL-CAMPESTRE,270135,144.58,134.72,163.89,125.71,97.87,117.02,122.58,142.16
2018,CAMPO ALEGRE,AL,NORDESTE,FERNANDO HADDAD,15765,11526,AL-CAMPO ALEGRE,270140,94.16,89.5,113.27,97.78,68.63,71.67,86.18,92.91
2018,CAMPO GRANDE,AL,NORDESTE,FERNANDO HADDAD,5865,5022,AL-CAMPO GRANDE,270150,65.55,12.92,24.16,44.22,80.74,22.96,57.04,62.4
2018,CANAPI,AL,NORDESTE,FERNANDO HADDAD,8523,7618,AL-CANAPI,270160,57.72,32.56,92.64,123.38,60.15,11.07,52.6,111.58
2018,CAPELA,AL,NORDESTE,FERNANDO HADDAD,8414,5192,AL-CAPELA,270170,103.28,89.27,86.7,94.58,94.34,69.81,63.75,128.05
2018,CARNEIROS,AL,NORDESTE,FERNANDO HADDAD,4420,3873,AL-CARNEIROS,270180,91.61,63.69,123.46,147.41,85.81,85.81,18.24,80.0
2018,CHA PRETA,AL,NORDESTE,FERNANDO HADDAD,3782,2994,AL-CHA PRETA,270190,114.95,62.39,94.02,79.76,58.18,81.82,100.0,125.84
2018,COITE DO NOIA,AL,NORDESTE,FERNANDO HADDAD,5974,5010,AL-COITE DO NOIA,270200,100.0,98.36,86.89,105.44,83.69,104.26,71.6,108.0
2018,COLONIA LEOPOLDINA,AL,NORDESTE,FERNANDO HADDAD,9141,5582,AL-COLONIA LEOPOLDINA,270210,82.52,77.01,77.01,53.71,94.24,100.0,77.9,92.63
2018,COQUEIRO SECO,AL,NORDESTE,FERNANDO HADDAD,3281,2016,AL-COQUEIRO SECO,270220,80.0,98.73,111.39,145.24,109.2,34.48,89.47,136.84
2018,CORURIPE,AL,NORDESTE,JAIR MESSIAS BOLSONARO,24917,13819,AL-CORURIPE,270230,78.82,80.77,86.59,108.0,72.55,57.71,62.81,87.58
2018,CRAIBAS,AL,NORDESTE,FERNANDO HADDAD,13299,11200,AL-CRAIBAS,270235,106.8,103.91,90.95,68.86,90.19,32.1,37.84,109.29
2018,DELMIRO GOUVEIA,AL,NORDESTE,FERNANDO HADDAD,26532,22523,AL-DELMIRO GOUVEIA,270240,122.36,85.42,89.58,96.98,86.86,39.54,39.55,74.04
2018,DOIS RIACHOS,AL,NORDESTE,FERNANDO HADDAD,5516,4444,AL-DOIS RIACHOS,270250,90.07,78.57,144.29,162.28,88.97,19.85,61.03,119.73
2018,ESTRELA DE ALAGOAS,AL,NORDESTE,FERNANDO HADDAD,7634,6783,AL-ESTRELA DE ALAGOAS,270255,83.72,91.98,72.19,92.41,83.25,4.78,43.98,100.99
2018,FEIRA GRANDE,AL,NORDESTE,FERNANDO HADDAD,12556,10412,AL-FEIRA GRANDE,270260,197.94,105.36,97.32,135.36,91.24,42.3,45.45,95.67
2018,FELIZ DESERTO,AL,NORDESTE,FERNANDO HADDAD,2106,1417,AL-FELIZ DESERTO,270270,86.36,85.51,118.84,110.67,113.33,93.33,38.16,95.0
2018,FLEXEIRAS,AL,NORDESTE,FERNANDO HADDAD,5306,2780,AL-FLEXEIRAS,270280,93.53,137.23,123.4,123.33,78.24,65.8,77.59,103.41
2018,GIRAU DO PONCIANO,AL,NORDESTE,FERNANDO HADDAD,18236,15898,AL-GIRAU DO PONCIANO,270290,107.69,90.64,92.72,116.96,70.45,21.38,35.51,56.52
2018,IBATEGUARA,AL,NORDESTE,FERNANDO HADDAD,7329,4865,AL-IBATEGUARA,270300,99.28,115.06,177.99,156.75,119.28,57.83,82.53,90.07
2018,IGACI,AL,NORDESTE,FERNANDO HADDAD,13012,11111,AL-IGACI,270310,76.88,53.49,44.62,83.49,55.36,16.96,78.53,105.1
2018,IGREJA NOVA,AL,NORDESTE,FERNANDO HADDAD,11837,9410,AL-IGREJA NOVA,270320,66.89,50.0,56.44,84.43,47.01,16.1,46.56,103.69
2018,INHAPI,AL,NORDESTE,FERNANDO HADDAD,8020,7102,AL-INHAPI,270330,86.71,85.67,73.25,82.64,70.0,64.48,46.6,83.27
2018,JACARE DOS HOMENS,AL,NORDESTE,FERNANDO HADDAD,3415,2981,AL-JACARE DOS HOMENS,270340,58.18,91.09,123.76,162.92,97.14,59.05,31.76,97.53
2018,JACUIPE,AL,NORDESTE,FERNANDO HADDAD,3451,2736,AL-JACUIPE,270350,71.05,157.45,129.79,110.0,136.73,132.65,77.59,101.45
2018,JAPARATINGA,AL,NORDESTE,FERNANDO HADDAD,4028,2066,AL-JAPARATINGA,270360,79.33,106.84,129.06,114.08,74.15,53.74,69.03,126.15
2018,JARAMATAIA,AL,NORDESTE,FERNANDO HADDAD,3268,2806,AL-JARAMATAIA,270370,71.76,40.16,98.36,103.7,119.57,40.22,18.35,92.13
2018,JEQUIA DA PRAIA,AL,NORDESTE,FERNANDO HADDAD,4823,2639,AL-JEQUIA DA PRAIA,270375,91.61,105.26,85.96,149.61,113.43,113.43,107.69,126.12
2018,JOAQUIM GOMES,AL,NORDESTE,FERNANDO HADDAD,9088,6950,AL-JOAQUIM GOMES,270380,62.61,84.38,109.62,128.53,94.37,62.2,85.01,90.67
2018,JUNDIA,AL,NORDESTE,FERNANDO HADDAD,2402,1547,AL-JUNDIA,270390,89.47,117.95,76.92,177.97,44.0,98.0,133.33,79.66
2018,JUNQUEIRO,AL,NORDESTE,FERNANDO HADDAD,12582,8973,AL-JUNQUEIRO,270400,91.62,100.26,107.01,105.68,111.84,72.9,55.93,70.4
2018,LAGOA DA CANOA,AL,NORDESTE,FERNANDO HADDAD,10519,8222,AL-LAGOA DA CANOA,270410,110.9,80.07,121.26,142.46,113.09,25.17,54.64,101.57
2018,LIMOEIRO DE ANADIA,AL,NORDESTE,FERNANDO HADDAD,12333,9971,AL-LIMOEIRO DE ANADIA,270420,62.43,76.74,91.71,75.5,92.13,66.85,84.05,120.93
