Ano de eleição;Município;UF;Região;Turno;Nome candidato;Cargo;Votos válidos;Votos nominais;Data de carga
2018;ERVÁLIA;MG;SUDESTE;2;ROMEU ZEMA NETO;Governador;9012;5961;2023-03-31 10:03:12
2018;SANTA MARGARIDA;MG;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;8591;3906;2023-03-31 10:03:12
2018;FORMOSO;GO;CENTRO-OESTE;2;JAIR MESSIAS BOLSONARO;Presidente;2825;1237;2023-03-31 10:03:12
2018;LUÍS DOMINGUES;MA;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;3523;1116;2023-03-31 10:03:12
2018;ANCHIETA;ES;SUDESTE;2;FERNANDO HADDAD;Presidente;16053;5813;2023-03-31 10:03:12
2018;SEBASTIANÓPOLIS DO SUL;SP;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;2015;1600;2023-03-31 10:03:12
2018;RIACHO DE SANTANA;RN;NORDESTE;2;MARIA DE FATIMA BEZERRA;Governador;2527;2137;2023-03-31 10:03:12
2018;JUQUIÁ;SP;SUDESTE;2;JOÃO AGRIPINO DA COSTA DORIA JUNIOR;Governador;9279;3609;2023-03-31 10:03:12
2018;MURICI DOS PORTELAS;PI;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;4192;658;2023-03-31 10:03:12
2018;FRAIBURGO;SC;SUL;2;JAIR MESSIAS BOLSONARO;Presidente;20167;13838;2023-03-31 10:03:12
2018;ITAPORANGA;SP;SUDESTE;2;JOÃO AGRIPINO DA COSTA DORIA JUNIOR;Governador;7202;3666;2023-03-31 10:03:12
2018;PEDRA BELA;SP;SUDESTE;2;MARCIO LUIZ FRANÇA GOMES;Governador;3278;1607;2023-03-31 10:03:12
2018;MANGUEIRINHA;PR;SUL;2;FERNANDO HADDAD;Presidente;10196;5591;2023-03-31 10:03:12
2018;RIBEIRÃO DO LARGO;BA;NORDESTE;2;FERNANDO HADDAD;Presidente;5189;4022;2023-03-31 10:03:12
2018;VILA NOVA DO PIAUÍ;PI;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;2156;346;2023-03-31 10:03:12
2018;PRESIDENTE VARGAS;MA;NORDESTE;2;FERNANDO HADDAD;Presidente;6382;5785;2023-03-31 10:03:12
2018;MARANGUAPE;CE;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;58622;18147;2023-03-31 10:03:12
2018;ESPÍRITO SANTO DO TURVO;SP;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;2150;1354;2023-03-31 10:03:12
2018;VINHEDO;SP;SUDESTE;2;MARCIO LUIZ FRANÇA GOMES;Governador;40427;11056;2023-03-31 10:03:12
2018;BURI;SP;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;10274;7390;2023-03-31 10:03:12
2018;CRISSIUMAL;RS;SUL;2;JAIR MESSIAS BOLSONARO;Presidente;7971;4501;2023-03-31 10:03:12
2018;QUIXABEIRA;BA;NORDESTE;2;FERNANDO HADDAD;Presidente;5353;3693;2023-03-31 10:03:12
2018;ALFREDO MARCONDES;SP;SUDESTE;2;FERNANDO HADDAD;Presidente;2733;853;2023-03-31 10:03:12
2018;PAULISTAS;MG;SUDESTE;2;ROMEU ZEMA NETO;Governador;2039;1485;2023-03-31 10:03:12
2018;CABRÁLIA PAULISTA;SP;SUDESTE;2;FERNANDO HADDAD;Presidente;2308;932;2023-03-31 10:03:12
2018;ANTÔNIO PRADO;RS;SUL;2;JOSÉ IVO SARTORI;Governador;8405;5753;2023-03-31 10:03:12
2018;PASSA QUATRO;MG;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;8935;5360;2023-03-31 10:03:12
2018;SALTO DE PIRAPORA;SP;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;20191;14417;2023-03-31 10:03:12
2018;RIO DAS ANTAS;SC;SUL;2;FERNANDO HADDAD;Presidente;3887;957;2023-03-31 10:03:12
2018;TOMBOS;MG;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;4722;2064;2023-03-31 10:03:12
2018;SANTO ANTÔNIO DO RETIRO;MG;SUDESTE;2;FERNANDO HADDAD;Presidente;3455;2756;2023-03-31 10:03:12
2018;PIRAQUARA;PR;SUL;2;JAIR MESSIAS BOLSONARO;Presidente;47789;31538;2023-03-31 10:03:12
2018;RIBEIRÃO DO SUL;SP;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;2722;1583;2023-03-31 10:03:12
2018;MIRAVÂNIA;MG;SUDESTE;2;ANTONIO AUGUSTO JUNHO ANASTASIA;Governador;2015;978;2023-03-31 10:03:12
2018;PÉ DE SERRA;BA;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;7987;2378;2023-03-31 10:03:12
2018;BRASÍLIA DE MINAS;MG;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;15972;4982;2023-03-31 10:03:12
2018;IPUMIRIM;SC;SUL;2;GELSON LUIZ MERÍSIO;Governador;4265;2336;2023-03-31 10:03:12
2018;CORONEL PACHECO;MG;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;1915;963;2023-03-31 10:03:12
2018;ENGENHEIRO PAULO DE FRONTIN;RJ;SUDESTE;2;WILSON JOSÉ WITZEL;Governador;6815;4082;2023-03-31 10:03:12
2018;MONTE AZUL;MG;SUDESTE;2;ANTONIO AUGUSTO JUNHO ANASTASIA;Governador;11079;2589;2023-03-31 10:03:12
2018;RESSAQUINHA;MG;SUDESTE;2;FERNANDO HADDAD;Presidente;2982;1776;2023-03-31 10:03:12
2018;ESPERA FELIZ;MG;SUDESTE;2;FERNANDO HADDAD;Presidente;11402;5949;2023-03-31 10:03:12
2018;ITAPIRAPUÃ;GO;CENTRO-OESTE;2;FERNANDO HADDAD;Presidente;4720;2338;2023-03-31 10:03:12
2018;ESTIVA;MG;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;6106;4013;2023-03-31 10:03:12
2018;ESMERALDAS;MG;SUDESTE;2;ANTONIO AUGUSTO JUNHO ANASTASIA;Governador;29473;6853;2023-03-31 10:03:12
2018;TRÊS FRONTEIRAS;SP;SUDESTE;2;FERNANDO HADDAD;Presidente;3290;981;2023-03-31 10:03:12
2018;LUZERNA;SC;SUL;2;FERNANDO HADDAD;Presidente;3997;630;2023-03-31 10:03:12
2018;BARROCAS;BA;NORDESTE;2;FERNANDO HADDAD;Presidente;9898;8478;2023-03-31 10:03:12
2018;MUCUGÊ;BA;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;6149;1575;2023-03-31 10:03:12
2018;SOLEDADE;RS;SUL;2;EDUARDO FIGUEIREDO CAVALHEIRO LEITE;Governador;15496;9796;2023-03-31 10:03:12
2018;CAMBERRA;ZZ;EXTERIOR;2;JAIR MESSIAS BOLSONARO;Presidente;822;539;2023-03-31 10:03:12
2018;SANTO ANTÔNIO DA PATRULHA;RS;SUL;2;JAIR MESSIAS BOLSONARO;Presidente;23289;14926;2023-03-31 10:03:12
2018;NOVA TRENTO;SC;SUL;2;FERNANDO HADDAD;Presidente;8301;1069;2023-03-31 10:03:12
2018;ITAMONTE;MG;SUDESTE;2;FERNANDO HADDAD;Presidente;7767;2173;2023-03-31 10:03:12
2018;SÃO JOSÉ DA VARGINHA;MG;SUDESTE;2;FERNANDO HADDAD;Presidente;2321;883;2023-03-31 10:03:12
2018;FORMOSA DO OESTE;PR;SUL;2;JAIR MESSIAS BOLSONARO;Presidente;4570;3139;2023-03-31 10:03:12
2018;RIBEIRÃO PIRES;SP;SUDESTE;2;FERNANDO HADDAD;Presidente;61554;20501;2023-03-31 10:03:12
2018;ITAPETININGA;SP;SUDESTE;2;FERNANDO HADDAD;Presidente;73492;15586;2023-03-31 10:03:12
2018;TAUÁ;CE;NORDESTE;2;FERNANDO HADDAD;Presidente;29612;21691;2023-03-31 10:03:12
2018;MONSENHOR PAULO;MG;SUDESTE;2;ANTONIO AUGUSTO JUNHO ANASTASIA;Governador;4281;1238;2023-03-31 10:03:12
2018;OURO VERDE;SC;SUL;2;CARLOS MOISÉS DA SILVA;Governador;1376;792;2023-03-31 10:03:12
2018;SUSSUAPARA;PI;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;4922;758;2023-03-31 10:03:12
2018;SÃO LOURENÇO;MG;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;22522;16961;2023-03-31 10:03:12
2018;PIÊN;PR;SUL;2;JAIR MESSIAS BOLSONARO;Presidente;7871;6212;2023-03-31 10:03:12
2018;LUZILÂNDIA;PI;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;13805;2966;2023-03-31 10:03:12
2018;CAPELINHA;MG;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;16315;7417;2023-03-31 10:03:12
2018;RIACHÃO DO DANTAS;SE;NORDESTE;2;FERNANDO HADDAD;Presidente;11926;9942;2023-03-31 10:03:12
2018;SANTA CRUZ DE MONTE CASTELO;PR;SUL;2;FERNANDO HADDAD;Presidente;5100;2311;2023-03-31 10:03:12
2018;NATUBA;PB;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;4392;1036;2023-03-31 10:03:12
2018;SANTA MARIA MADALENA;RJ;SUDESTE;2;FERNANDO HADDAD;Presidente;5166;1894;2023-03-31 10:03:12
2018;UPANEMA;RN;NORDESTE;2;MARIA DE FATIMA BEZERRA;Governador;8166;5205;2023-03-31 10:03:12
2018;GRUPIARA;MG;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;1080;645;2023-03-31 10:03:12
2018;ROSÁRIO;MA;NORDESTE;2;FERNANDO HADDAD;Presidente;21134;16994;2023-03-31 10:03:12
2018;CIUDAD GUAYANA;ZZ;EXTERIOR;2;FERNANDO HADDAD;Presidente;36;4;2023-03-31 10:03:12
