Nome Município,Código,2015,2016,2017,2018,2019,2020,2021,2022,Estado,Estado_Municipio
MANOEL URBANO,120034,52.65,58.85,67.9,49.58,32.57,44.06,62.61,49.64,AC,AC-MANOEL URBANO
MARECHAL THAUMATURGO,120035,44.89,68.52,100.69,100.29,122.68,46.39,27.68,79.94,AC,AC-MARECHAL THAUMATURGO
PLACIDO DE CASTRO,120038,37.92,18.32,30.12,42.77,25.25,23.28,40.25,41.75,AC,AC-PLACIDO DE CASTRO
PORTO WALTER,120039,116.67,99.59,121.22,96.94,85.11,48.94,38.52,64.46,AC,AC-PORTO WALTER
RIO BRANCO,120040,136.97,137.19,114.95,124.55,126.11,100.43,86.32,86.95,AC,AC-RIO BRANCO
RODRIGUES ALVES,120042,95.86,100.0,93.89,104.64,85.79,50.27,9.28,19.02,AC,AC-RODRIGUES ALVES
SANTA ROSA DO PURUS,120043,104.42,101.66,85.08,170.53,66.67,75.76,59.68,101.34,AC,AC-SANTA ROSA DO PURUS
SENADOR GUIOMARD,120045,18.48,4.42,25.44,37.8,24.05,26.08,33.33,36.91,AC,AC-SENADOR GUIOMARD
SENA MADUREIRA,120050,92.32,67.48,126.21,100.52,101.79,83.59,100.0,106.74,AC,AC-SENA MADUREIRA
TARAUACA,120060,103.1,112.68,123.0,79.31,78.8,85.16,84.08,69.85,AC,AC-TARAUACA
XAPURI,120070,35.37,47.06,45.75,50.0,45.57,54.43,37.04,53.8,AC,AC-XAPURI
PORTO ACRE,120080,12.71,1.91,23.16,19.72,10.47,18.6,36.41,34.35,AC,AC-PORTO ACRE
ALVARAES,130002,106.18,92.48,96.73,84.47,104.49,94.76,88.04,66.75,AM,AM-ALVARAES
AMATURA,130006,126.82,101.14,98.86,86.79,102.25,100.0,101.51,142.64,AM,AM-AMATURA
ANAMA,130008,70.94,63.03,69.67,85.64,83.67,122.45,73.68,107.89,AM,AM-ANAMA
ANORI,130010,49.47,100.8,111.6,71.59,71.98,100.0,80.26,76.74,AM,AM-ANORI
APUI,130014,130.04,91.48,116.14,126.54,93.13,57.94,19.25,133.58,AM,AM-APUI
ATALAIA DO NORTE,130020,164.49,89.15,94.23,95.21,65.18,62.3,30.35,86.43,AM,AM-ATALAIA DO NORTE
AUTAZES,130030,89.04,50.0,118.8,103.6,111.59,80.82,87.39,83.22,AM,AM-AUTAZES
BARCELOS,130040,65.14,73.48,97.98,77.0,71.95,47.33,41.55,42.05,AM,AM-BARCELOS
BARREIRINHA,130050,95.69,72.01,81.97,72.98,53.91,67.36,61.84,56.97,AM,AM-BARREIRINHA
BENJAMIN CONSTANT,130060,127.84,70.71,90.02,105.23,141.0,87.01,37.28,22.87,AM,AM-BENJAMIN CONSTANT
BERURI,130063,96.4,82.4,94.62,82.61,65.33,55.95,56.38,95.88,AM,AM-BERURI
BOA VISTA DO RAMOS,130068,136.88,99.38,89.54,94.87,81.82,98.75,86.97,122.74,AM,AM-BOA VISTA DO RAMOS
BOCA DO ACRE,130070,107.74,75.82,73.22,87.44,65.37,81.58,45.38,60.72,AM,AM-BOCA DO ACRE
BORBA,130080,98.43,100.85,109.31,106.66,81.05,66.62,112.58,125.45,AM,AM-BORBA
CAAPIRANGA,130083,59.61,68.47,56.65,53.55,63.43,69.91,100.59,94.61,AM,AM-CAAPIRANGA
CANUTAMA,130090,132.31,94.81,82.25,86.64,104.19,95.81,102.08,70.56,AM,AM-CANUTAMA
CARAUARI,130100,73.23,110.8,87.19,102.26,97.28,154.47,118.74,69.4,AM,AM-CARAUARI
CAREIRO,130110,32.32,33.81,45.63,46.44,44.14,62.89,70.21,88.32,AM,AM-CAREIRO
CAREIRO DA VARZEA,130115,58.24,24.52,53.85,74.37,19.83,35.02,41.92,49.47,AM,AM-CAREIRO DA VARZEA
COARI,130120,93.36,87.65,93.06,102.98,94.81,76.33,89.63,81.7,AM,AM-COARI
CODAJAS,130130,111.29,99.29,100.47,107.18,99.32,117.77,69.02,163.29,AM,AM-CODAJAS
EIRUNEPE,130140,92.01,67.41,54.66,109.67,78.69,74.59,66.67,79.22,AM,AM-EIRUNEPE
ENVIRA,130150,108.2,85.94,94.27,82.11,82.78,148.82,168.8,154.5,AM,AM-ENVIRA
FONTE BOA,130160,106.83,77.28,84.41,93.16,64.92,78.1,72.02,86.15,AM,AM-FONTE BOA
GUAJARA,130165,55.05,14.08,12.68,16.9,9.51,10.12,14.74,70.1,AM,AM-GUAJARA
HUMAITA,130170,103.66,106.2,100.62,107.61,101.2,106.19,139.47,144.32,AM,AM-HUMAITA
IPIXUNA,130180,48.51,80.41,97.96,93.46,82.4,42.54,84.04,70.47,AM,AM-IPIXUNA
IRANDUBA,130185,28.18,17.07,36.79,33.84,42.61,49.42,50.15,84.56,AM,AM-IRANDUBA
ITACOATIARA,130190,117.35,97.18,86.44,84.44,87.86,95.87,126.75,160.55,AM,AM-ITACOATIARA
ITAMARATI,130195,24.62,68.92,76.1,83.53,88.57,70.61,73.28,103.33,AM,AM-ITAMARATI
ITAPIRANGA,130200,75.96,94.81,114.94,86.1,90.3,93.94,91.91,128.72,AM,AM-ITAPIRANGA
JAPURA,130210,117.83,80.41,98.65,80.67,67.7,98.76,130.58,93.62,AM,AM-JAPURA
JURUA,130220,115.08,88.77,113.37,129.48,71.15,67.59,14.89,7.11,AM,AM-JURUA
JUTAI,130230,76.92,56.52,104.83,93.28,82.85,43.4,23.37,44.34,AM,AM-JUTAI
LABREA,130240,92.99,90.04,85.13,113.84,125.24,106.34,90.13,89.39,AM,AM-LABREA
MANACAPURU,130250,101.0,51.27,28.96,10.61,20.9,97.16,92.81,92.42,AM,AM-MANACAPURU
MANAQUIRI,130255,51.81,56.22,83.69,66.8,55.33,58.33,65.58,89.16,AM,AM-MANAQUIRI
MANAUS,130260,122.64,110.59,95.45,101.77,101.78,102.81,110.5,142.55,AM,AM-MANAUS
MANICORE,130270,123.31,99.42,99.88,95.93,87.77,86.25,96.77,130.62,AM,AM-MANICORE
MARAA,130280,54.95,62.28,83.29,103.08,72.25,79.9,70.6,64.75,AM,AM-MARAA
MAUES,130290,78.43,65.09,102.51,89.94,85.58,35.16,52.89,86.17,AM,AM-MAUES
NHAMUNDA,130300,101.33,40.17,95.79,83.38,75.7,78.49,79.48,92.66,AM,AM-NHAMUNDA
NOVA OLINDA DO NORTE,130310,98.73,88.53,122.13,126.45,114.53,235.47,62.09,3.02,AM,AM-NOVA OLINDA DO NORTE
NOVO AIRAO,130320,56.1,40.33,89.84,96.19,57.66,42.34,49.35,23.1,AM,AM-NOVO AIRAO
NOVO ARIPUANA,130330,96.85,96.49,36.55,79.95,84.48,40.39,78.32,77.24,AM,AM-NOVO ARIPUANA
PARINTINS,130340,116.69,75.67,111.82,114.15,100.61,95.09,114.12,117.67,AM,AM-PARINTINS
PAUINI,130350,114.71,70.33,74.73,96.26,73.8,45.63,32.79,62.08,AM,AM-PAUINI
PRESIDENTE FIGUEIREDO,130353,50.34,49.91,68.72,80.11,74.95,57.93,55.17,49.36,AM,AM-PRESIDENTE FIGUEIREDO
RIO PRETO DA EVA,130356,37.43,24.09,60.1,62.41,72.51,67.3,66.36,73.28,AM,AM-RIO PRETO DA EVA
SANTA ISABEL DO RIO NEGRO,130360,116.79,109.59,122.83,115.44,78.11,60.54,73.91,64.06,AM,AM-SANTA ISABEL DO RIO NEGRO
SANTO ANTONIO DO ICA,130370,115.48,105.55,150.54,133.77,118.09,82.46,97.54,105.05,AM,AM-SANTO ANTONIO DO ICA
SAO GABRIEL DA CACHOEIRA,130380,93.4,104.4,137.43,109.03,119.85,48.68,44.43,53.12,AM,AM-SAO GABRIEL DA CACHOEIRA
SAO PAULO DE OLIVENCA,130390,118.93,98.17,108.55,116.15,98.0,40.14,18.51,39.83,AM,AM-SAO PAULO DE OLIVENCA
SAO SEBASTIAO DO UATUMA,130395,63.98,50.62,88.89,84.66,20.87,83.01,112.0,127.8,AM,AM-SAO SEBASTIAO DO UATUMA
SILVES,130400,77.78,98.75,133.12,60.58,59.35,52.03,65.5,91.16,AM,AM-SILVES
TABATINGA,130406,137.17,110.44,116.26,114.0,98.53,96.77,94.86,97.04,AM,AM-TABATINGA
TAPAUA,130410,94.48,25.07,91.12,87.11,84.44,84.94,119.44,110.4,AM,AM-TAPAUA
TEFE,130420,111.73,110.73,120.32,117.48,113.33,114.41,125.06,162.22,AM,AM-TEFE
TONANTINS,130423,131.68,110.93,134.7,103.89,80.57,79.26,35.9,70.39,AM,AM-TONANTINS
UARINI,130426,87.46,50.83,88.45,105.32,81.68,46.85,39.6,87.43,AM,AM-UARINI
URUCARA,130430,107.97,94.72,93.66,89.06,109.63,97.78,102.83,155.71,AM,AM-URUCARA
URUCURITUBA,130440,65.74,52.29,82.26,68.56,92.7,98.41,161.99,160.48,AM,AM-URUCURITUBA
AMAJARI,140002,51.32,50.17,66.67,124.14,75.21,34.93,10.76,9.87,RR,RR-AMAJARI
ALTO ALEGRE,140005,75.5,68.33,37.9,108.0,73.95,41.63,5.49,6.65,RR,RR-ALTO ALEGRE
BOA VISTA,140010,152.04,145.37,137.6,144.04,136.06,124.58,110.34,112.19,RR,RR-BOA VISTA
BONFIM,140015,41.16,25.23,95.38,151.51,98.67,59.95,17.02,55.82,RR,RR-BONFIM
CANTA,140017,4.48,3.59,67.68,101.59,95.74,68.75,28.57,35.39,RR,RR-CANTA
CARACARAI,140020,10.61,14.03,62.24,75.27,64.62,41.28,15.28,13.69,RR,RR-CARACARAI
CAROEBE,140023,32.45,37.01,69.48,89.73,102.19,37.16,49.02,113.66,RR,RR-CAROEBE
IRACEMA,140028,32.88,15.38,109.62,93.08,87.66,44.81,7.57,15.44,RR,RR-IRACEMA
MUCAJAI,140030,8.6,4.35,66.22,78.74,94.82,61.17,37.37,79.23,RR,RR-MUCAJAI
NORMANDIA,140040,50.26,47.61,99.47,112.68,78.55,44.34,12.07,13.18,RR,RR-NORMANDIA
PACARAIMA,140045,60.34,89.05,114.5,148.6,132.63,93.16,31.29,68.5,RR,RR-PACARAIMA
RORAINOPOLIS,140047,121.14,122.4,132.35,204.97,58.26,144.58,62.61,109.7,RR,RR-RORAINOPOLIS
SAO JOAO DA BALIZA,140050,38.33,37.61,76.07,66.35,35.25,62.3,70.23,103.97,RR,RR-SAO JOAO DA BALIZA
SAO LUIZ,140060,18.75,56.72,140.3,116.87,47.17,41.51,58.88,110.38,RR,RR-SAO LUIZ
UIRAMUTA,140070,83.12,61.96,97.83,117.0,117.75,35.51,12.34,27.2,RR,RR-UIRAMUTA
ABAETETUBA,150010,75.21,52.5,26.42,32.4,37.12,62.29,83.84,79.51,PA,PA-ABAETETUBA
ABEL FIGUEIREDO,150013,108.53,121.0,153.0,104.27,63.38,47.89,100.0,162.24,PA,PA-ABEL FIGUEIREDO
ACARA,150020,57.65,50.41,80.92,57.8,77.62,68.85,58.16,66.95,PA,PA-ACARA
AFUA,150030,65.65,41.07,96.15,109.0,112.71,71.8,64.79,70.75,PA,PA-AFUA
AGUA AZUL DO NORTE,150034,70.53,103.85,95.05,32.52,23.26,63.72,101.78,167.46,PA,PA-AGUA AZUL DO NORTE
ALENQUER,150040,137.96,103.27,89.75,91.46,98.14,88.43,68.09,75.23,PA,PA-ALENQUER
ALMEIRIM,150050,126.66,106.01,95.24,104.19,74.09,59.46,65.6,92.3,PA,PA-ALMEIRIM
ALTAMIRA,150060,141.62,102.87,73.51,97.43,98.15,91.4,78.07,80.75,PA,PA-ALTAMIRA
ANAJAS,150070,85.03,78.94,106.52,98.78,77.19,74.74,82.44,82.95,PA,PA-ANAJAS
ANANINDEUA,150080,76.03,29.97,70.04,51.63,44.67,31.9,23.54,47.69,PA,PA-ANANINDEUA
ANAPU,150085,113.94,104.44,127.59,116.49,99.52,63.97,39.72,97.31,PA,PA-ANAPU
AUGUSTO CORREA,150090,107.45,61.07,89.48,79.81,56.15,73.26,79.48,97.56,PA,PA-AUGUSTO CORREA
AURORA DO PARA,150095,82.97,55.63,86.2,85.06,121.7,102.49,75.29,103.02,PA,PA-AURORA DO PARA
AVEIRO,150100,111.0,91.19,70.98,81.86,187.5,139.38,71.23,104.79,PA,PA-AVEIRO
BAGRE,150110,91.11,72.91,54.92,66.43,92.59,50.27,51.91,49.05,PA,PA-BAGRE
BAIAO,150120,106.21,87.52,101.73,95.59,73.97,60.48,92.61,101.57,PA,PA-BAIAO
BANNACH,150125,132.56,133.33,185.42,151.35,128.57,71.43,134.78,110.53,PA,PA-BANNACH
BARCARENA,150130,82.14,93.82,94.53,58.01,97.35,92.94,95.07,107.22,PA,PA-BARCARENA
BELEM,150140,110.87,92.37,75.97,98.41,86.69,75.72,79.34,85.36,PA,PA-BELEM
BELTERRA,150145,127.24,131.93,134.87,133.2,129.04,92.65,94.27,121.36,PA,PA-BELTERRA
BENEVIDES,150150,56.44,30.68,57.74,72.11,45.82,44.48,53.85,105.09,PA,PA-BENEVIDES
BOM JESUS DO TOCANTINS,150157,96.96,65.02,133.5,132.66,100.89,80.89,77.74,112.2,PA,PA-BOM JESUS DO TOCANTINS
BONITO,150160,101.54,78.6,87.91,112.09,111.96,61.96,64.29,77.23,PA,PA-BONITO
BRAGANCA,150170,81.81,116.83,125.14,125.33,122.3,108.91,114.9,121.4,PA,PA-BRAGANCA
BRASIL NOVO,150172,89.96,59.31,95.17,114.34,94.89,83.48,89.23,103.77,PA,PA-BRASIL NOVO
BREJO GRANDE DO ARAGUAIA,150175,83.16,68.48,48.91,67.09,53.76,37.63,57.0,115.89,PA,PA-BREJO GRANDE DO ARAGUAIA
BREU BRANCO,150178,101.91,67.14,71.97,89.3,103.95,66.37,81.57,84.2,PA,PA-BREU BRANCO
BREVES,150180,87.49,77.67,93.73,63.39,48.51,24.86,27.2,67.87,PA,PA-BREVES
BUJARU,150190,63.71,56.29,90.02,92.46,79.07,33.4,30.67,43.77,PA,PA-BUJARU
CACHOEIRA DO PIRIA,150195,74.22,66.45,75.48,27.0,51.77,69.77,56.31,78.91,PA,PA-CACHOEIRA DO PIRIA
CACHOEIRA DO ARARI,150200,97.77,94.33,103.33,79.94,83.64,96.36,78.43,74.52,PA,PA-CACHOEIRA DO ARARI
CAMETA,150210,147.29,104.15,99.92,107.11,102.65,95.45,84.65,87.73,PA,PA-CAMETA
CANAA DOS CARAJAS,150215,163.66,141.1,97.33,89.13,91.82,103.81,114.31,108.31,PA,PA-CANAA DOS CARAJAS
CAPANEMA,150220,88.56,69.1,95.06,82.25,82.5,89.52,84.61,106.4,PA,PA-CAPANEMA
CAPITAO POCO,150230,68.62,99.18,99.29,115.12,112.15,107.85,72.09,65.64,PA,PA-CAPITAO POCO
CASTANHAL,150240,175.45,171.89,121.8,118.66,113.99,81.6,101.49,115.42,PA,PA-CASTANHAL
CHAVES,150250,21.99,45.13,60.77,71.66,69.89,63.17,51.17,39.95,PA,PA-CHAVES
COLARES,150260,65.58,60.99,69.23,63.82,72.56,48.78,41.4,66.67,PA,PA-COLARES
CONCEICAO DO ARAGUAIA,150270,100.13,90.93,86.46,71.24,70.66,105.66,93.64,98.32,PA,PA-CONCEICAO DO ARAGUAIA
CONCORDIA DO PARA,150275,81.54,95.64,89.9,104.0,101.0,91.57,87.91,94.79,PA,PA-CONCORDIA DO PARA
CUMARU DO NORTE,150276,86.05,80.6,109.7,44.94,30.12,41.57,73.5,51.13,PA,PA-CUMARU DO NORTE
CURIONOPOLIS,150277,86.99,81.95,78.95,68.9,86.55,63.45,44.55,62.06,PA,PA-CURIONOPOLIS
CURRALINHO,150280,65.86,29.59,51.42,84.05,58.25,43.11,58.66,55.22,PA,PA-CURRALINHO
CURUA,150285,87.61,100.83,99.17,117.31,116.67,63.54,6.28,94.92,PA,PA-CURUA
CURUCA,150290,5.93,15.12,46.69,65.84,71.28,74.34,80.29,82.7,PA,PA-CURUCA
DOM ELISEU,150293,105.47,99.57,84.05,96.24,80.2,89.88,85.23,121.85,PA,PA-DOM ELISEU
ELDORADO DOS CARAJAS,150295,101.99,72.03,79.89,110.02,44.79,63.92,21.74,50.44,PA,PA-ELDORADO DOS CARAJAS
FARO,150300,157.66,94.83,82.18,70.25,61.44,60.78,31.45,70.47,PA,PA-FARO
FLORESTA DO ARAGUAIA,150304,102.17,67.57,75.68,90.83,74.18,59.94,84.97,105.7,PA,PA-FLORESTA DO ARAGUAIA
GARRAFAO DO NORTE,150307,74.9,66.34,82.87,99.27,99.76,119.22,99.18,132.67,PA,PA-GARRAFAO DO NORTE
GOIANESIA DO PARA,150309,32.38,65.42,80.0,94.82,56.88,21.83,32.62,50.68,PA,PA-GOIANESIA DO PARA
GURUPA,150310,98.72,87.07,91.61,78.23,100.66,119.44,62.79,70.46,PA,PA-GURUPA
IGARAPE-ACU,150320,37.2,28.03,45.74,82.91,79.43,64.89,76.84,87.25,PA,PA-IGARAPE-ACU
IGARAPE-MIRI,150330,46.79,81.4,71.83,75.71,78.89,84.91,79.2,75.12,PA,PA-IGARAPE-MIRI
INHANGAPI,150340,40.44,29.52,22.89,77.78,80.0,70.29,101.85,67.6,PA,PA-INHANGAPI
IPIXUNA DO PARA,150345,76.73,65.79,73.51,91.81,86.87,38.55,32.55,70.54,PA,PA-IPIXUNA DO PARA
IRITUIA,150350,44.92,59.44,53.36,83.72,90.48,84.05,90.57,76.13,PA,PA-IRITUIA
ITAITUBA,150360,120.85,110.88,106.31,93.81,88.73,57.09,51.67,48.52,PA,PA-ITAITUBA
ITUPIRANGA,150370,163.66,173.21,144.57,74.49,104.48,45.58,88.89,116.51,PA,PA-ITUPIRANGA
JACAREACANGA,150375,123.55,69.27,85.79,57.61,87.4,70.44,57.65,54.44,PA,PA-JACAREACANGA
JACUNDA,150380,103.21,100.11,84.98,93.7,90.37,85.35,97.76,88.87,PA,PA-JACUNDA
JURUTI,150390,86.15,97.11,82.35,85.53,93.47,89.25,73.45,47.91,PA,PA-JURUTI
LIMOEIRO DO AJURU,150400,63.28,46.61,59.95,68.86,83.83,48.26,63.54,68.33,PA,PA-LIMOEIRO DO AJURU
MAE DO RIO,150405,89.79,56.52,68.76,104.91,92.49,78.89,98.4,119.52,PA,PA-MAE DO RIO
MAGALHAES BARATA,150410,50.96,81.2,47.86,59.79,101.11,80.0,70.94,150.0,PA,PA-MAGALHAES BARATA
MARABA,150420,73.87,80.56,75.2,81.53,107.3,123.64,32.21,90.75,PA,PA-MARABA
MARACANA,150430,85.94,87.89,74.82,70.5,64.92,81.22,95.71,60.5,PA,PA-MARACANA
MARAPANIM,150440,61.18,29.08,32.61,50.15,54.63,50.0,69.08,54.02,PA,PA-MARAPANIM
MARITUBA,150442,120.27,62.99,160.99,112.49,116.39,40.64,29.9,47.24,PA,PA-MARITUBA
MEDICILANDIA,150445,71.97,91.18,108.35,88.19,106.48,98.06,78.41,77.1,PA,PA-MEDICILANDIA
MELGACO,150450,73.75,70.03,83.56,86.5,73.13,46.09,30.22,25.93,PA,PA-MELGACO
MOCAJUBA,150460,60.42,74.22,64.73,50.79,57.32,57.53,81.52,111.85,PA,PA-MOCAJUBA
MOJU,150470,67.51,63.32,70.81,62.4,46.95,40.11,45.59,46.44,PA,PA-MOJU
MOJUI DOS CAMPOS,150475,0.0,131.19,13050.0,116.07,66.38,163.76,70.75,127.82,PA,PA-MOJUI DOS CAMPOS
MONTE ALEGRE,150480,76.26,115.69,104.68,88.64,62.06,55.28,45.14,81.14,PA,PA-MONTE ALEGRE
MUANA,150490,106.91,80.98,84.75,80.33,91.26,63.81,80.52,87.81,PA,PA-MUANA
NOVA ESPERANCA DO PIRIA,150495,119.57,116.58,102.01,105.63,31.35,83.42,110.66,96.68,PA,PA-NOVA ESPERANCA DO PIRIA
