Estado_Municipio,Região,UF,Município,Ano de eleição (2018),Nome candidato (2018),Votos válidos (2018),Votos nominais (2018),Ano de eleição (2022),Nome candidato (2022),Votos válidos (2022),Votos nominais (2022),Código SUS,Cobertura Vacinal 2015,Cobertura Vacinal 2016,Cobertura Vacinal 2017,Cobertura Vacinal 2018,Cobertura Vacinal 2019,Cobertura Vacinal 2020,Cobertura Vacinal 2021,Cobertura Vacinal 2022
AC-SENADOR GUIOMARD,NORTE,AC,SENADOR GUIOMARD,2018,JAIR MESSIAS BOLSONARO,12699,10247,2022,JAIR MESSIAS BOLSONARO,13755,9134,120045,18.48,4.42,25.44,37.8,24.05,26.08,33.33,36.91
AC-TARAUACA,NORTE,AC,TARAUACA,2018,JAIR MESSIAS BOLSONARO,13559,8292,2022,JAIR MESSIAS BOLSONARO,18508,9146,120060,103.1,112.68,123.0,79.31,78.8,85.16,84.08,69.85
AC-XAPURI,NORTE,AC,XAPURI,2018,JAIR MESSIAS BOLSONARO,8329,4929,2022,JAIR MESSIAS BOLSONARO,9360,5142,120070,35.37,47.06,45.75,50.0,45.57,54.43,37.04,53.8
AL-AGUA BRANCA,NORDESTE,AL,AGUA BRANCA,2018,FERNANDO HADDAD,10332,9520,2022,LUIZ INÁCIO LULA DA SILVA,10781,9295,270010,68.45,77.98,94.95,107.91,81.07,47.93,87.31,173.9
AL-ANADIA,NORDESTE,AL,ANADIA,2018,FERNANDO HADDAD,7893,6182,2022,LUIZ INÁCIO LULA DA SILVA,8593,6234,270020,81.97,66.16,80.61,110.48,99.51,79.02,95.15,121.08
AL-ARAPIRACA,NORDESTE,AL,ARAPIRACA,2018,FERNANDO HADDAD,105130,56755,2022,LUIZ INÁCIO LULA DA SILVA,116927,59431,270030,104.76,94.44,91.34,97.86,110.43,72.46,75.56,87.56
AL-ATALAIA,NORDESTE,AL,ATALAIA,2018,FERNANDO HADDAD,19811,13524,2022,LUIZ INÁCIO LULA DA SILVA,22604,13894,270040,73.98,90.45,90.88,107.02,77.16,54.47,101.29,121.35
AL-BARRA DE SANTO ANTONIO,NORDESTE,AL,BARRA DE SANTO ANTONIO,2018,FERNANDO HADDAD,7816,4923,2022,LUIZ INÁCIO LULA DA SILVA,9283,5358,270050,57.0,141.11,88.15,103.7,61.17,62.46,77.74,158.62
AL-BARRA DE SAO MIGUEL,NORDESTE,AL,BARRA DE SAO MIGUEL,2018,JAIR MESSIAS BOLSONARO,4746,2400,2022,JAIR MESSIAS BOLSONARO,5905,2769,270060,134.29,103.33,122.0,98.75,104.96,70.21,60.98,114.39
AL-BATALHA,NORDESTE,AL,BATALHA,2018,FERNANDO HADDAD,8333,6261,2022,LUIZ INÁCIO LULA DA SILVA,9597,6244,270070,105.74,80.87,91.28,92.72,103.55,62.77,54.96,123.51
AL-BELEM,NORDESTE,AL,BELEM,2018,FERNANDO HADDAD,3195,2511,2022,LUIZ INÁCIO LULA DA SILVA,3488,2442,270080,156.58,111.39,98.73,91.57,77.92,135.06,59.49,82.22
AL-BELO MONTE,NORDESTE,AL,BELO MONTE,2018,FERNANDO HADDAD,3414,2928,2022,LUIZ INÁCIO LULA DA SILVA,4461,3192,270090,88.51,53.12,110.42,122.11,96.88,91.67,94.74,143.96
AL-BOCA DA MATA,NORDESTE,AL,BOCA DA MATA,2018,FERNANDO HADDAD,12309,7788,2022,LUIZ INÁCIO LULA DA SILVA,13532,7789,270100,98.37,101.62,107.64,139.04,100.0,76.25,73.03,124.65
AL-BRANQUINHA,NORDESTE,AL,BRANQUINHA,2018,FERNANDO HADDAD,4916,3756,2022,LUIZ INÁCIO LULA DA SILVA,6123,4230,270110,89.73,78.79,89.18,97.31,112.97,96.76,111.89,105.2
AL-CACIMBINHAS,NORDESTE,AL,CACIMBINHAS,2018,FERNANDO HADDAD,5291,4166,2022,LUIZ INÁCIO LULA DA SILVA,5955,4189,270120,40.0,49.15,29.38,77.94,29.82,29.24,45.29,108.7
AL-CAJUEIRO,NORDESTE,AL,CAJUEIRO,2018,FERNANDO HADDAD,9032,6380,2022,LUIZ INÁCIO LULA DA SILVA,10006,6482,270130,83.42,96.51,115.86,137.93,103.91,67.75,67.09,94.75
AL-CAMPESTRE,NORDESTE,AL,CAMPESTRE,2018,FERNANDO HADDAD,3339,2594,2022,LUIZ INÁCIO LULA DA SILVA,4044,2685,270135,144.58,134.72,163.89,125.71,97.87,117.02,122.58,142.16
AL-CAMPO ALEGRE,NORDESTE,AL,CAMPO ALEGRE,2018,FERNANDO HADDAD,15765,11526,2022,LUIZ INÁCIO LULA DA SILVA,18067,11834,270140,94.16,89.5,113.27,97.78,68.63,71.67,86.18,92.91
AL-CAMPO GRANDE,NORDESTE,AL,CAMPO GRANDE,2018,FERNANDO HADDAD,5865,5022,2022,LUIZ INÁCIO LULA DA SILVA,6562,5082,270150,65.55,12.92,24.16,44.22,80.74,22.96,57.04,62.4
AL-CANAPI,NORDESTE,AL,CANAPI,2018,FERNANDO HADDAD,8523,7618,2022,LUIZ INÁCIO LULA DA SILVA,9304,7512,270160,57.72,32.56,92.64,123.38,60.15,11.07,52.6,111.58
AL-CAPELA,NORDESTE,AL,CAPELA,2018,FERNANDO HADDAD,8414,5192,2022,LUIZ INÁCIO LULA DA SILVA,9481,5477,270170,103.28,89.27,86.7,94.58,94.34,69.81,63.75,128.05
AL-CARNEIROS,NORDESTE,AL,CARNEIROS,2018,FERNANDO HADDAD,4420,3873,2022,LUIZ INÁCIO LULA DA SILVA,5041,3945,270180,91.61,63.69,123.46,147.41,85.81,85.81,18.24,80.0
AL-CHA PRETA,NORDESTE,AL,CHA PRETA,2018,FERNANDO HADDAD,3782,2994,2022,LUIZ INÁCIO LULA DA SILVA,4373,3193,270190,114.95,62.39,94.02,79.76,58.18,81.82,100.0,125.84
AL-COITE DO NOIA,NORDESTE,AL,COITE DO NOIA,2018,FERNANDO HADDAD,5974,5010,2022,LUIZ INÁCIO LULA DA SILVA,6613,5049,270200,100.0,98.36,86.89,105.44,83.69,104.26,71.6,108.0
AL-COLONIA LEOPOLDINA,NORDESTE,AL,COLONIA LEOPOLDINA,2018,FERNANDO HADDAD,9141,5582,2022,LUIZ INÁCIO LULA DA SILVA,10290,5517,270210,82.52,77.01,77.01,53.71,94.24,100.0,77.9,92.63
AL-COQUEIRO SECO,NORDESTE,AL,COQUEIRO SECO,2018,FERNANDO HADDAD,3281,2016,2022,LUIZ INÁCIO LULA DA SILVA,3959,2367,270220,80.0,98.73,111.39,145.24,109.2,34.48,89.47,136.84
AL-CORURIPE,NORDESTE,AL,CORURIPE,2018,JAIR MESSIAS BOLSONARO,24917,13819,2022,JAIR MESSIAS BOLSONARO,28689,13580,270230,78.82,80.77,86.59,108.0,72.55,57.71,62.81,87.58
