,Ano de eleição,Cargo,Código município,Município,Região,UF,Turno,Nome candidato,Votos válidos,Votos nominais,Estado_Municipio
48633,2022,Presidente,45756,GUIDOVAL,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,5001,2975,MG-GUIDOVAL
6026,2022,Presidente,45772,GUIMARANIA,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,5058,2382,MG-GUIMARANIA
933,2022,Presidente,45799,GUIRICEMA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,5562,3398,MG-GUIRICEMA
25487,2022,Presidente,45810,GURINHATA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,3533,1683,MG-GURINHATA
54761,2022,Presidente,45837,HELIODORA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,3980,2078,MG-HELIODORA
42892,2022,Presidente,45853,IAPU,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,5953,2883,MG-IAPU
57971,2022,Presidente,45870,IBERTIOGA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,3696,2595,MG-IBERTIOGA
49599,2022,Presidente,45918,IBIAI,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,4299,3233,MG-IBIAI
42140,2022,Presidente,42200,IBIRACATU,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,3812,2916,MG-IBIRACATU
39561,2022,Presidente,45934,IBIRACI,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,6832,3637,MG-IBIRACI
40769,2022,Presidente,45950,IBIRITE,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,95720,46074,MG-IBIRITE
14757,2022,Presidente,45977,IBITIURA DE MINAS,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,2517,1649,MG-IBITIURA DE MINAS
25234,2022,Presidente,45993,IBITURUNA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,1904,949,MG-IBITURUNA
38080,2022,Presidente,45896,IBIA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,12094,6019,MG-IBIA
24636,2022,Presidente,40240,ICARAI DE MINAS,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,6044,4313,MG-ICARAI DE MINAS
11245,2022,Presidente,46019,IGARAPE,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,23825,10933,MG-IGARAPE
357,2022,Presidente,46035,IGARATINGA,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,6233,3191,MG-IGARATINGA
33896,2022,Presidente,46051,IGUATAMA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,4792,2573,MG-IGUATAMA
58503,2022,Presidente,46078,IJACI,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,4205,2006,MG-IJACI
700,2022,Presidente,46094,ILICINEA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,7448,3793,MG-ILICINEA
15508,2022,Presidente,42226,IMBE DE MINAS,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,4076,2383,MG-IMBE DE MINAS
53452,2022,Presidente,46116,INCONFIDENTES,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,4912,2458,MG-INCONFIDENTES
31492,2022,Presidente,42242,INDAIABIRA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,3955,2192,MG-INDAIABIRA
36497,2022,Presidente,46132,INDIANOPOLIS,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,3752,2042,MG-INDIANOPOLIS
15724,2022,Presidente,46159,INGAI,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,2035,1148,MG-INGAI
32062,2022,Presidente,46175,INHAPIM,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,14344,7134,MG-INHAPIM
33540,2022,Presidente,46191,INHAUMA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,4379,2215,MG-INHAUMA
36696,2022,Presidente,46213,INIMUTABA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,4595,2784,MG-INIMUTABA
52245,2022,Presidente,40266,IPABA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,9733,4752,MG-IPABA
18134,2022,Presidente,46230,IPANEMA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,10938,5372,MG-IPANEMA
6256,2022,Presidente,46256,IPATINGA,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,133714,79427,MG-IPATINGA
54755,2022,Presidente,46272,IPIACU,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,2624,1606,MG-IPIACU
34621,2022,Presidente,46299,IPUIUNA,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,6084,3003,MG-IPUIUNA
30384,2022,Presidente,46310,IRAI DE MINAS,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,4795,2393,MG-IRAI DE MINAS
9330,2022,Presidente,46337,ITABIRA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,69827,35025,MG-ITABIRA
1692,2022,Presidente,46353,ITABIRINHA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,5970,3009,MG-ITABIRINHA
24424,2022,Presidente,46370,ITABIRITO,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,32176,16176,MG-ITABIRITO
37675,2022,Presidente,46396,ITACAMBIRA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,3389,2624,MG-ITACAMBIRA
51597,2022,Presidente,46418,ITACARAMBI,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,8823,6166,MG-ITACARAMBI
16429,2022,Presidente,46434,ITAGUARA,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,8076,3602,MG-ITAGUARA
7924,2022,Presidente,46450,ITAIPE,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,5633,3743,MG-ITAIPE
24291,2022,Presidente,46477,ITAJUBA,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,54180,31321,MG-ITAJUBA
48553,2022,Presidente,46493,ITAMARANDIBA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,17865,10799,MG-ITAMARANDIBA
17418,2022,Presidente,46515,ITAMARATI DE MINAS,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,2809,1709,MG-ITAMARATI DE MINAS
47440,2022,Presidente,46531,ITAMBACURI,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,11516,7693,MG-ITAMBACURI
18161,2022,Presidente,46558,ITAMBE DO MATO DENTRO,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,1898,1221,MG-ITAMBE DO MATO DENTRO
51929,2022,Presidente,46574,ITAMOGI,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,6672,3225,MG-ITAMOGI
16112,2022,Presidente,46590,ITAMONTE,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,8985,4854,MG-ITAMONTE
30093,2022,Presidente,46612,ITANHANDU,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,9457,4431,MG-ITANHANDU
34629,2022,Presidente,46639,ITANHOMI,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,6470,3565,MG-ITANHOMI
59537,2022,Presidente,46655,ITAOBIM,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,11088,6506,MG-ITAOBIM
2933,2022,Presidente,46671,ITAPAGIPE,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,7643,3663,MG-ITAPAGIPE
27314,2022,Presidente,46698,ITAPECERICA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,13621,7222,MG-ITAPECERICA
26546,2022,Presidente,46710,ITAPEVA,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,6169,3469,MG-ITAPEVA
45748,2022,Presidente,46736,ITATIAIUCU,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,7780,4210,MG-ITATIAIUCU
17419,2022,Presidente,46779,ITAVERAVA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,4319,2591,MG-ITAVERAVA
32860,2022,Presidente,54453,ITAU DE MINAS,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,8884,4608,MG-ITAU DE MINAS
33717,2022,Presidente,46752,ITAUNA,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,54045,31636,MG-ITAUNA
4195,2022,Presidente,46795,ITINGA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,7328,5667,MG-ITINGA
37955,2022,Presidente,46817,ITUETA,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,3612,2158,MG-ITUETA
11511,2022,Presidente,46833,ITUIUTABA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,56711,31282,MG-ITUIUTABA
53001,2022,Presidente,46850,ITUMIRIM,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,4421,2304,MG-ITUMIRIM
34649,2022,Presidente,46876,ITURAMA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,21890,11617,MG-ITURAMA
36702,2022,Presidente,46892,ITUTINGA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,2829,1716,MG-ITUTINGA
32348,2022,Presidente,46914,JABOTICATUBAS,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,11335,5715,MG-JABOTICATUBAS
58639,2022,Presidente,46930,JACINTO,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,6177,4028,MG-JACINTO
32185,2022,Presidente,46973,JACUTINGA,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,14020,9293,MG-JACUTINGA
29814,2022,Presidente,46957,JACUI,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,4429,2820,MG-JACUI
62308,2022,Presidente,46990,JAGUARACU,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,2400,1161,MG-JAGUARACU
16524,2022,Presidente,40304,JAMPRUCA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,2900,1996,MG-JAMPRUCA
42158,2022,Presidente,47015,JANAUBA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,38802,21150,MG-JANAUBA
3744,2022,Presidente,47031,JANUARIA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,33865,24868,MG-JANUARIA
5505,2022,Presidente,47058,JAPARAIBA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,2776,1241,MG-JAPARAIBA
35091,2022,Presidente,42269,JAPONVAR,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,5804,4519,MG-JAPONVAR
25565,2022,Presidente,40282,JAIBA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,18320,11109,MG-JAIBA
1734,2022,Presidente,47074,JECEABA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,4564,2708,MG-JECEABA
34459,2022,Presidente,42285,JENIPAPO DE MINAS,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,3490,2556,MG-JENIPAPO DE MINAS
17495,2022,Presidente,47090,JEQUERI,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,7134,4797,MG-JEQUERI
15721,2022,Presidente,47112,JEQUITAI,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,4259,3006,MG-JEQUITAI
7979,2022,Presidente,47139,JEQUITIBA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,4381,2092,MG-JEQUITIBA
7762,2022,Presidente,47155,JEQUITINHONHA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,11769,8828,MG-JEQUITINHONHA
24238,2022,Presidente,47171,JESUANIA,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,3145,1477,MG-JESUANIA
26456,2022,Presidente,47210,JOANESIA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,3363,1857,MG-JOANESIA
11765,2022,Presidente,47279,JOAQUIM FELICIO,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,2350,1310,MG-JOAQUIM FELICIO
28259,2022,Presidente,47198,JOAIMA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,6807,5103,MG-JOAIMA
18758,2022,Presidente,47295,JORDANIA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,5041,3128,MG-JORDANIA
27666,2022,Presidente,40924,JOSENOPOLIS,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,2114,1554,MG-JOSENOPOLIS
53063,2022,Presidente,42307,JOSE GONCALVES DE MINAS,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,2472,1740,MG-JOSE GONCALVES DE MINAS
20492,2022,Presidente,42323,JOSE RAYDAN,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,2628,1650,MG-JOSE RAYDAN
48981,2022,Presidente,47236,JOAO MONLEVADE,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,45264,21601,MG-JOAO MONLEVADE
16950,2022,Presidente,47252,JOAO PINHEIRO,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,27221,13036,MG-JOAO PINHEIRO
49319,2022,Presidente,40320,JUATUBA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,17186,8171,MG-JUATUBA
2448,2022,Presidente,47333,JUIZ DE FORA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,317458,167048,MG-JUIZ DE FORA
27312,2022,Presidente,47350,JURAMENTO,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,3479,2366,MG-JURAMENTO
1858,2022,Presidente,47376,JURUAIA,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,7096,3907,MG-JURUAIA
58667,2022,Presidente,40940,JUVENILIA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,3650,2438,MG-JUVENILIA
48735,2022,Presidente,47392,LADAINHA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,7215,5187,MG-LADAINHA
53201,2022,Presidente,47414,LAGAMAR,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,4811,2369,MG-LAGAMAR
20952,2022,Presidente,47430,LAGOA DA PRATA,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,26955,14777,MG-LAGOA DA PRATA
46479,2022,Presidente,47457,LAGOA DOS PATOS,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,2485,1524,MG-LAGOA DOS PATOS
49609,2022,Presidente,47473,LAGOA DOURADA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,7939,3756,MG-LAGOA DOURADA
14028,2022,Presidente,47490,LAGOA FORMOSA,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,11482,5598,MG-LAGOA FORMOSA
33270,2022,Presidente,40347,LAGOA GRANDE,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,5574,3137,MG-LAGOA GRANDE
49646,2022,Presidente,47511,LAGOA SANTA,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,38128,20728,MG-LAGOA SANTA
8865,2022,Presidente,47538,LAJINHA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,11579,5568,MG-LAJINHA
34704,2022,Presidente,47554,LAMBARI,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,12674,7218,MG-LAMBARI
17812,2022,Presidente,47570,LAMIM,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,2643,1907,MG-LAMIM
43161,2022,Presidente,47597,LARANJAL,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,4360,2179,MG-LARANJAL
11745,2022,Presidente,47619,LASSANCE,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,4010,2577,MG-LASSANCE
4388,2022,Presidente,47635,LAVRAS,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,55315,25243,MG-LAVRAS
34619,2022,Presidente,47651,LEANDRO FERREIRA,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,2532,1285,MG-LEANDRO FERREIRA
29124,2022,Presidente,40967,LEME DO PRADO,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,2774,1980,MG-LEME DO PRADO
869,2022,Presidente,47678,LEOPOLDINA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,30600,17698,MG-LEOPOLDINA
33401,2022,Presidente,47694,LIBERDADE,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,3245,1953,MG-LIBERDADE
2433,2022,Presidente,47716,LIMA DUARTE,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,10688,7229,MG-LIMA DUARTE
7555,2022,Presidente,40363,LIMEIRA DO OESTE,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,4824,2666,MG-LIMEIRA DO OESTE
63200,2022,Presidente,40380,LONTRA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,5647,4112,MG-LONTRA
37588,2022,Presidente,40983,LUISBURGO,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,4213,2227,MG-LUISBURGO
9912,2022,Presidente,41009,LUISLANDIA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,4469,3633,MG-LUISLANDIA
41343,2022,Presidente,47732,LUMINARIAS,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,3412,1863,MG-LUMINARIAS
29818,2022,Presidente,47759,LUZ,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,10279,5320,MG-LUZ
45679,2022,Presidente,47775,MACHACALIS,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,4222,2654,MG-MACHACALIS
50699,2022,Presidente,47791,MACHADO,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,22548,12612,MG-MACHADO
36942,2022,Presidente,47813,MADRE DE DEUS DE MINAS,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,3403,1989,MG-MADRE DE DEUS DE MINAS
55281,2022,Presidente,47830,MALACACHETA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,9723,6271,MG-MALACACHETA
4800,2022,Presidente,40401,MAMONAS,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,4514,3049,MG-MAMONAS
55686,2022,Presidente,47856,MANGA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,10796,6995,MG-MANGA
48293,2022,Presidente,47872,MANHUACU,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,44770,22500,MG-MANHUACU
915,2022,Presidente,47899,MANHUMIRIM,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,12343,5988,MG-MANHUMIRIM
56096,2022,Presidente,47910,MANTENA,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,14307,7830,MG-MANTENA
57725,2022,Presidente,47953,MAR DE ESPANHA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,7884,3959,MG-MAR DE ESPANHA
41318,2022,Presidente,47937,MARAVILHAS,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,5045,2501,MG-MARAVILHAS
51386,2022,Presidente,47970,MARIA DA FE,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,9535,5257,MG-MARIA DA FE
1706,2022,Presidente,47996,MARIANA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,38113,25076,MG-MARIANA
36496,2022,Presidente,48011,MARILAC,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,2949,1924,MG-MARILAC
28445,2022,Presidente,48038,MARIPA DE MINAS,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,2303,1113,MG-MARIPA DE MINAS
41625,2022,Presidente,48054,MARLIERIA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,3250,1642,MG-MARLIERIA
3425,2022,Presidente,48070,MARMELOPOLIS,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,2245,1019,MG-MARMELOPOLIS
33780,2022,Presidente,48097,MARTINHO CAMPOS,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,8162,4384,MG-MARTINHO CAMPOS
32800,2022,Presidente,41041,MARTINS SOARES,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,5817,3185,MG-MARTINS SOARES
6583,2022,Presidente,40428,MATA VERDE,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,4860,2780,MG-MATA VERDE
42719,2022,Presidente,48119,MATERLANDIA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,2580,1955,MG-MATERLANDIA
48745,2022,Presidente,48135,MATEUS LEME,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,19741,9045,MG-MATEUS LEME
10185,2022,Presidente,54313,MATHIAS LOBATO,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,2291,1410,MG-MATHIAS LOBATO
15792,2022,Presidente,48151,MATIAS BARBOSA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,9170,4975,MG-MATIAS BARBOSA
49441,2022,Presidente,40444,MATIAS CARDOSO,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,4869,3428,MG-MATIAS CARDOSO
37160,2022,Presidente,48178,MATIPO,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,10745,5890,MG-MATIPO
60515,2022,Presidente,48194,MATO VERDE,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,8209,5058,MG-MATO VERDE
50467,2022,Presidente,48216,MATOZINHOS,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,22560,10803,MG-MATOZINHOS
23471,2022,Presidente,48232,MATUTINA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,2389,1123,MG-MATUTINA
26768,2022,Presidente,48259,MEDEIROS,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,2337,1276,MG-MEDEIROS
52276,2022,Presidente,48275,MEDINA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,10920,7400,MG-MEDINA
62012,2022,Presidente,48291,MENDES PIMENTEL,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,3526,1886,MG-MENDES PIMENTEL
59201,2022,Presidente,48313,MERCES,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,6420,4165,MG-MERCES
37144,2022,Presidente,48330,MESQUITA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,3611,1884,MG-MESQUITA
43849,2022,Presidente,48356,MINAS NOVAS,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,12976,9977,MG-MINAS NOVAS
842,2022,Presidente,48372,MINDURI,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,2474,1256,MG-MINDURI
23650,2022,Presidente,48399,MIRABELA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,8164,5721,MG-MIRABELA
22466,2022,Presidente,48410,MIRADOURO,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,6218,3597,MG-MIRADOURO
7984,2022,Presidente,41068,MIRAVANIA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,2460,1833,MG-MIRAVANIA
24560,2022,Presidente,48437,MIRAI,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,7731,3656,MG-MIRAI
39653,2022,Presidente,48453,MOEDA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,4013,1867,MG-MOEDA
22381,2022,Presidente,48470,MOEMA,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,4931,2355,MG-MOEMA
23642,2022,Presidente,48496,MONJOLOS,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,1537,981,MG-MONJOLOS
33469,2022,Presidente,48518,MONSENHOR PAULO,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,5160,2503,MG-MONSENHOR PAULO
28924,2022,Presidente,48534,MONTALVANIA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,8510,5839,MG-MONTALVANIA
18074,2022,Presidente,48550,MONTE ALEGRE DE MINAS,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,10692,5656,MG-MONTE ALEGRE DE MINAS
9906,2022,Presidente,48577,MONTE AZUL,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,13114,7832,MG-MONTE AZUL
17594,2022,Presidente,48593,MONTE BELO,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,8066,3889,MG-MONTE BELO
43168,2022,Presidente,48615,MONTE CARMELO,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,26777,13695,MG-MONTE CARMELO
16932,2022,Presidente,41084,MONTE FORMOSO,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,2674,1976,MG-MONTE FORMOSO
48099,2022,Presidente,48631,MONTE SANTO DE MINAS,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,11897,5608,MG-MONTE SANTO DE MINAS
9632,2022,Presidente,48674,MONTE SIAO,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,13982,9824,MG-MONTE SIAO
18075,2022,Presidente,48658,MONTES CLAROS,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,222382,103694,MG-MONTES CLAROS
34038,2022,Presidente,40460,MONTEZUMA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,3954,2587,MG-MONTEZUMA
55054,2022,Presidente,48690,MORADA NOVA DE MINAS,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,5195,2565,MG-MORADA NOVA DE MINAS
10768,2022,Presidente,48712,MORRO DA GARCA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,2046,1414,MG-MORRO DA GARCA
56919,2022,Presidente,48739,MORRO DO PILAR,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,2558,1746,MG-MORRO DO PILAR
2020,2022,Presidente,48755,MUNHOZ,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,4477,2183,MG-MUNHOZ
25660,2022,Presidente,48771,MURIAE,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,59782,28731,MG-MURIAE
45694,2022,Presidente,48798,MUTUM,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,15801,7613,MG-MUTUM
16401,2022,Presidente,48810,MUZAMBINHO,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,13383,6591,MG-MUZAMBINHO
50899,2022,Presidente,41025,MARIO CAMPOS,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,9366,4297,MG-MARIO CAMPOS
1113,2022,Presidente,48836,NACIP RAYDAN,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,1705,1119,MG-NACIP RAYDAN
26098,2022,Presidente,48852,NANUQUE,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,19691,9662,MG-NANUQUE
24741,2022,Presidente,40487,NAQUE,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,3839,2186,MG-NAQUE
11627,2022,Presidente,41106,NATALANDIA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,2331,1430,MG-NATALANDIA
12961,2022,Presidente,48879,NATERCIA,SUDESTE,MG,1,JAIR MESSIAS BOLSONARO,2997,1578,MG-NATERCIA
58499,2022,Presidente,48895,NAZARENO,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,5030,3193,MG-NAZARENO
40758,2022,Presidente,48917,NEPOMUCENO,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,15026,6925,MG-NEPOMUCENO
53000,2022,Presidente,41122,NINHEIRA,SUDESTE,MG,1,LUIZ INÁCIO LULA DA SILVA,5148,3306,MG-NINHEIRA
