,Ano de eleição,Cargo,Código município,Município,Região,UF,Turno,Nome candidato,Votos válidos,Votos nominais,Estado_Municipio
2930,2022,Presidente,27430,COQUEIRO SECO,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,3959,2367,AL-COQUEIRO SECO
18632,2022,Presidente,27456,CORURIPE,NORDESTE,AL,1,JAIR MESSIAS BOLSONARO,28689,13580,AL-CORURIPE
61303,2022,Presidente,28894,CRAIBAS,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,14721,11172,AL-CRAIBAS
16536,2022,Presidente,27472,DELMIRO GOUVEIA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,28603,22645,AL-DELMIRO GOUVEIA
43162,2022,Presidente,27499,DOIS RIACHOS,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,6543,4778,AL-DOIS RIACHOS
43274,2022,Presidente,27049,ESTRELA DE ALAGOAS,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,7878,6284,AL-ESTRELA DE ALAGOAS
35529,2022,Presidente,27510,FEIRA GRANDE,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,13409,9890,AL-FEIRA GRANDE
681,2022,Presidente,27537,FELIZ DESERTO,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,2444,1629,AL-FELIZ DESERTO
12182,2022,Presidente,27553,FLEXEIRAS,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,6099,3001,AL-FLEXEIRAS
31495,2022,Presidente,27570,GIRAU DO PONCIANO,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,19488,15297,AL-GIRAU DO PONCIANO
8961,2022,Presidente,27596,IBATEGUARA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,7922,4787,AL-IBATEGUARA
34893,2022,Presidente,27618,IGACI,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,13778,10652,AL-IGACI
32344,2022,Presidente,27634,IGREJA NOVA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,12847,9392,AL-IGREJA NOVA
32566,2022,Presidente,27650,INHAPI,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,9046,7310,AL-INHAPI
53041,2022,Presidente,27677,JACARE DOS HOMENS,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,3633,2829,AL-JACARE DOS HOMENS
9905,2022,Presidente,27693,JACUIPE,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,4237,2904,AL-JACUIPE
11228,2022,Presidente,27715,JAPARATINGA,NORDESTE,AL,1,JAIR MESSIAS BOLSONARO,5455,2754,AL-JAPARATINGA
35099,2022,Presidente,27731,JARAMATAIA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,3759,2843,AL-JARAMATAIA
19107,2022,Presidente,27065,JEQUIA DA PRAIA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,6123,3064,AL-JEQUIA DA PRAIA
33139,2022,Presidente,27758,JOAQUIM GOMES,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,10324,7065,AL-JOAQUIM GOMES
20439,2022,Presidente,27774,JUNDIA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,3158,1899,AL-JUNDIA
17593,2022,Presidente,27790,JUNQUEIRO,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,14246,9073,AL-JUNQUEIRO
34217,2022,Presidente,27812,LAGOA DA CANOA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,11435,8047,AL-LAGOA DA CANOA
45423,2022,Presidente,27839,LIMOEIRO DE ANADIA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,14158,10502,AL-LIMOEIRO DE ANADIA
17871,2022,Presidente,27855,MACEIO,NORDESTE,AL,1,JAIR MESSIAS BOLSONARO,484075,240053,AL-MACEIO
29110,2022,Presidente,27871,MAJOR ISIDORO,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,10919,7253,AL-MAJOR ISIDORO
40772,2022,Presidente,27979,MAR VERMELHO,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,2806,1942,AL-MAR VERMELHO
