,Ano de eleição,Município,UF,Região,Turno,Nome candidato,Cargo,Votos válidos,Votos nominais,Estado_Municipio
3531,2018,MATRIZ DE CAMARAGIBE,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,12092,6213,AL-MATRIZ DE CAMARAGIBE
5566,2018,MESSIAS,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,8782,5415,AL-MESSIAS
3669,2018,MINADOR DO NEGRAO,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,3198,2607,AL-MINADOR DO NEGRAO
10721,2018,MONTEIROPOLIS,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,3821,3247,AL-MONTEIROPOLIS
9956,2018,MURICI,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,12549,7965,AL-MURICI
11405,2018,NOVO LINO,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,5341,3108,AL-NOVO LINO
393,2018,OLHO D'AGUA DAS FLORES,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,10239,7149,AL-OLHO D'AGUA DAS FLORES
7859,2018,OLHO D'AGUA DO CASADO,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,4813,4494,AL-OLHO D'AGUA DO CASADO
16522,2018,OLHO D'AGUA GRANDE,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,3061,2687,AL-OLHO D'AGUA GRANDE
5942,2018,OLIVENCA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,6136,5134,AL-OLIVENCA
4191,2018,OURO BRANCO,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,5984,5156,AL-OURO BRANCO
15084,2018,PALESTINA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,2719,2291,AL-PALESTINA
9039,2018,PALMEIRA DOS INDIOS,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,34236,23153,AL-PALMEIRA DOS INDIOS
4139,2018,PARICONHA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,6151,5777,AL-PARICONHA
1237,2018,PARIPUEIRA,AL,NORDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,6718,3554,AL-PARIPUEIRA
15953,2018,PASSO DE CAMARAGIBE,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,7182,4712,AL-PASSO DE CAMARAGIBE
3823,2018,PAULO JACINTO,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,3954,2868,AL-PAULO JACINTO
11290,2018,PENEDO,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,26519,17029,AL-PENEDO
5048,2018,PIACABUCU,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,8376,6070,AL-PIACABUCU
16839,2018,PILAR,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,17776,9463,AL-PILAR
9216,2018,PINDOBA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,1685,1210,AL-PINDOBA
12973,2018,PIRANHAS,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,12502,11252,AL-PIRANHAS
12949,2018,PORTO CALVO,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,11932,5982,AL-PORTO CALVO
12162,2018,PORTO DE PEDRAS,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,4050,2367,AL-PORTO DE PEDRAS
857,2018,PORTO REAL DO COLEGIO,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,10725,8966,AL-PORTO REAL DO COLEGIO
10180,2018,POCO DAS TRINCHEIRAS,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,6851,6226,AL-POCO DAS TRINCHEIRAS
6085,2018,PAO DE ACUCAR,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,11657,9356,AL-PAO DE ACUCAR
1145,2018,QUEBRANGULO,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,6482,5053,AL-QUEBRANGULO
13587,2018,RIO LARGO,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,39386,19803,AL-RIO LARGO
1818,2018,ROTEIRO,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,3285,2183,AL-ROTEIRO
7934,2018,SANTA LUZIA DO NORTE,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,4221,2586,AL-SANTA LUZIA DO NORTE
11805,2018,SANTANA DO IPANEMA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,22103,17425,AL-SANTANA DO IPANEMA
9974,2018,SANTANA DO MUNDAU,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,5834,4729,AL-SANTANA DO MUNDAU
10159,2018,SATUBA,AL,NORDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,7212,3681,AL-SATUBA
13506,2018,SENADOR RUI PALMEIRA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,6063,5287,AL-SENADOR RUI PALMEIRA
988,2018,SAO BRAS,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,3982,3103,AL-SAO BRAS
6428,2018,SAO JOSE DA LAJE,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,11395,7192,AL-SAO JOSE DA LAJE
4784,2018,SAO JOSE DA TAPERA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,14108,12282,AL-SAO JOSE DA TAPERA
3766,2018,SAO LUIS DO QUITUNDE,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,14019,8142,AL-SAO LUIS DO QUITUNDE
4101,2018,SAO MIGUEL DOS CAMPOS,AL,NORDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,26921,13765,AL-SAO MIGUEL DOS CAMPOS
9642,2018,SAO MIGUEL DOS MILAGRES,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,4114,2093,AL-SAO MIGUEL DOS MILAGRES
5327,2018,SAO SEBASTIAO,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,17060,13577,AL-SAO SEBASTIAO
1601,2018,TANQUE D'ARCA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,3491,2987,AL-TANQUE D'ARCA
2699,2018,TAQUARANA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,9327,7341,AL-TAQUARANA
1884,2018,TEOTONIO VILELA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,18794,12110,AL-TEOTONIO VILELA
11685,2018,TRAIPU,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,11166,9658,AL-TRAIPU
16681,2018,UNIAO DOS PALMARES,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,29871,19928,AL-UNIAO DOS PALMARES
1336,2018,VICOSA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,13077,8972,AL-VICOSA
12738,2018,AGUA BRANCA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,10332,9520,AL-AGUA BRANCA
4449,2018,ALVARAES,AM,NORTE,2,FERNANDO HADDAD,Presidente,6675,5295,AM-ALVARAES
14268,2018,AMATURA,AM,NORTE,2,FERNANDO HADDAD,Presidente,4246,3400,AM-AMATURA
13538,2018,ANAMA,AM,NORTE,2,FERNANDO HADDAD,Presidente,5848,4077,AM-ANAMA
10904,2018,ANORI,AM,NORTE,2,FERNANDO HADDAD,Presidente,5934,3681,AM-ANORI
9473,2018,APUI,AM,NORTE,2,JAIR MESSIAS BOLSONARO,Presidente,6264,3218,AM-APUI
11407,2018,ATALAIA DO NORTE,AM,NORTE,2,FERNANDO HADDAD,Presidente,4871,4020,AM-ATALAIA DO NORTE
9093,2018,AUTAZES,AM,NORTE,2,FERNANDO HADDAD,Presidente,16916,12407,AM-AUTAZES
16725,2018,BARCELOS,AM,NORTE,2,FERNANDO HADDAD,Presidente,5521,3608,AM-BARCELOS
49,2018,BARREIRINHA,AM,NORTE,2,FERNANDO HADDAD,Presidente,12647,11611,AM-BARREIRINHA
9899,2018,BENJAMIN CONSTANT,AM,NORTE,2,FERNANDO HADDAD,Presidente,14301,12275,AM-BENJAMIN CONSTANT
2164,2018,BERURI,AM,NORTE,2,FERNANDO HADDAD,Presidente,7501,5670,AM-BERURI
3127,2018,BOA VISTA DO RAMOS,AM,NORTE,2,FERNANDO HADDAD,Presidente,7474,6666,AM-BOA VISTA DO RAMOS
6407,2018,BOCA DO ACRE,AM,NORTE,2,FERNANDO HADDAD,Presidente,12911,6782,AM-BOCA DO ACRE
1795,2018,BORBA,AM,NORTE,2,FERNANDO HADDAD,Presidente,12965,10727,AM-BORBA
8735,2018,CAAPIRANGA,AM,NORTE,2,FERNANDO HADDAD,Presidente,4836,3449,AM-CAAPIRANGA
1829,2018,CANUTAMA,AM,NORTE,2,FERNANDO HADDAD,Presidente,5050,3359,AM-CANUTAMA
16900,2018,CARAUARI,AM,NORTE,2,FERNANDO HADDAD,Presidente,11987,9617,AM-CARAUARI
11869,2018,CAREIRO,AM,NORTE,2,FERNANDO HADDAD,Presidente,13624,9464,AM-CAREIRO
15065,2018,CAREIRO DA VARZEA,AM,NORTE,2,FERNANDO HADDAD,Presidente,10034,7239,AM-CAREIRO DA VARZEA
6701,2018,COARI,AM,NORTE,2,FERNANDO HADDAD,Presidente,31089,21399,AM-COARI
1382,2018,CODAJAS,AM,NORTE,2,FERNANDO HADDAD,Presidente,8499,5455,AM-CODAJAS
1827,2018,EIRUNEPE,AM,NORTE,2,FERNANDO HADDAD,Presidente,11973,8836,AM-EIRUNEPE
10033,2018,ENVIRA,AM,NORTE,2,FERNANDO HADDAD,Presidente,6275,4870,AM-ENVIRA
13640,2018,FONTE BOA,AM,NORTE,2,FERNANDO HADDAD,Presidente,9482,7837,AM-FONTE BOA
14241,2018,GUAJARA,AM,NORTE,2,JAIR MESSIAS BOLSONARO,Presidente,5618,2836,AM-GUAJARA
2714,2018,HUMAITA,AM,NORTE,2,FERNANDO HADDAD,Presidente,18007,10398,AM-HUMAITA
15501,2018,IPIXUNA,AM,NORTE,2,FERNANDO HADDAD,Presidente,6367,5055,AM-IPIXUNA
9367,2018,IRANDUBA,AM,NORTE,2,FERNANDO HADDAD,Presidente,23204,14447,AM-IRANDUBA
1106,2018,ITACOATIARA,AM,NORTE,2,FERNANDO HADDAD,Presidente,44638,29226,AM-ITACOATIARA
5399,2018,ITAMARATI,AM,NORTE,2,FERNANDO HADDAD,Presidente,4188,3497,AM-ITAMARATI
14537,2018,ITAPIRANGA,AM,NORTE,2,FERNANDO HADDAD,Presidente,4674,2843,AM-ITAPIRANGA
4150,2018,JAPURA,AM,NORTE,2,FERNANDO HADDAD,Presidente,2560,1912,AM-JAPURA
11267,2018,JURUA,AM,NORTE,2,FERNANDO HADDAD,Presidente,4014,2829,AM-JURUA
16505,2018,JUTAI,AM,NORTE,2,FERNANDO HADDAD,Presidente,7422,6049,AM-JUTAI
8008,2018,LABREA,AM,NORTE,2,FERNANDO HADDAD,Presidente,14924,11291,AM-LABREA
333,2018,MANACAPURU,AM,NORTE,2,FERNANDO HADDAD,Presidente,45033,27255,AM-MANACAPURU
9381,2018,MANAQUIRI,AM,NORTE,2,FERNANDO HADDAD,Presidente,7820,6076,AM-MANAQUIRI
4954,2018,MANAUS,AM,NORTE,2,JAIR MESSIAS BOLSONARO,Presidente,1045363,686999,AM-MANAUS
6532,2018,MANICORE,AM,NORTE,2,FERNANDO HADDAD,Presidente,17559,12543,AM-MANICORE
6276,2018,MARAA,AM,NORTE,2,FERNANDO HADDAD,Presidente,4949,4114,AM-MARAA
17161,2018,MAUES,AM,NORTE,2,FERNANDO HADDAD,Presidente,19623,16543,AM-MAUES
